key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255777,"ENSIGHT IV ENERGY MANAGEMENT, LLC",CADDO,HA RA SU67;FRANKS 11-2 HC,001-ALT,2026-07-20,,01,PERMITTED
255778,"ENSIGHT IV ENERGY MANAGEMENT, LLC",RED RIVER,HA RA SUD;SWN PROD 14-23 HC,002-ALT,2026-07-21,,01,PERMITTED
255779,"ADDIE, JAMES & JOHN THORNTON",WINN,LAVESPERE,022,2026-07-21,,01,PERMITTED
255780,"ADDIE, JAMES & JOHN THORNTON",WINN,LAVESPERE,023,2026-07-21,,01,PERMITTED
255781,"ADDIE, JAMES & JOHN THORNTON",WINN,LAVESPERE,024,2026-07-21,,01,PERMITTED
255782,"ADDIE, JAMES & JOHN THORNTON",WINN,LAVESPERE,025,2026-07-21,,01,PERMITTED
255783,D. L. & BARBARA W. CHILES,CADDO,THAD EDWARDS,015,2026-07-22,,01,PERMITTED
255784,"APEX NATURAL GAS, LLC",DE SOTO,HA RA SUE;MOMENTUM 5-12-12HU,005,2026-07-24,,01,PERMITTED
255785,"APEX NATURAL GAS, LLC",DE SOTO,HA RA SUE;MOMENTUM 5-12-12HU,006-ALT,2026-07-24,,01,PERMITTED
255786,EXPAND OPERATING LLC,NATCHITOCHES,EGC 27&34-9-8 HC,001,2026-07-24,,01,PERMITTED
255787,BAYOU STATE OIL CORPORATION,CADDO,BAYOU STATE OWENS,014,2026-07-23,,01,PERMITTED
255788,BAYOU STATE OIL CORPORATION,CADDO,JOLLEY B,032,2026-07-24,,01,PERMITTED
255789,BAYOU STATE OIL CORPORATION,CADDO,JOLLEY B,033,2026-07-24,,01,PERMITTED
255790,BAYOU STATE OIL CORPORATION,CADDO,OWENS,038,2026-07-24,,01,PERMITTED
255791,"ENSIGHT IV ENERGY MANAGEMENT, LLC",RED RIVER,HA RA SUD;SWN PROD 14-23 HC,003-ALT,2026-07-24,,01,PERMITTED
255792,BPX OPERATING COMPANY,RED RIVER,HA RD SUU;CASON 32-29-20HC,001-ALT,2026-07-24,,01,PERMITTED
255793,BPX OPERATING COMPANY,RED RIVER,HA RD SUU;CASON 32-29-20HC,002-ALT,2026-07-24,,01,PERMITTED
255794,BPX OPERATING COMPANY,RED RIVER,HA RD SUU;CASON 32-29-20HC,003-ALT,2026-07-24,,01,PERMITTED
255795,BPX OPERATING COMPANY,RED RIVER,HA RD SUU;CASON 32-29-20HC,004-ALT,2026-07-24,,01,PERMITTED
255796,"EXCO OPERATING COMPANY, LP",DE SOTO,HA RA SUB;FULLER 24-13 HC,001-ALT,2026-07-29,,01,PERMITTED
255797,"EXCO OPERATING COMPANY, LP",DE SOTO,HA RA SUB;FULLER 24-13 HC,002-ALT,2026-07-29,,01,PERMITTED
255798,"EXCO OPERATING COMPANY, LP",DE SOTO,HA RA SUB;MAIER 24-13 HC,001-ALT,2026-07-29,,01,PERMITTED
255799,"EXCO OPERATING COMPANY, LP",DE SOTO,HA RA SUB;MAIER 24-13 HC,002-ALT,2026-07-29,,01,PERMITTED
255800,ADAMAS ENERGY LLC,BIENVILLE,HA RA SUEE;RALEY 14-11-2HC,001-ALT,2026-08-04,,01,PERMITTED
255801,ADAMAS ENERGY LLC,BIENVILLE,HA RA SUEE;RALEY 14-11-2HC,002-ALT,2026-08-04,,01,PERMITTED
255802,ADAMAS ENERGY LLC,BIENVILLE,HA RA SUEE; RALEY 14-11-2HC,003-ALT,2026-08-04,,01,PERMITTED
255803,"FONTAINEBLEAU OPERATING, LLC",BEAUREGARD,COLUMBIA LAND 27,002,2026-08-12,,01,PERMITTED
255804,WAGNER OIL LOUISIANA,EVANGELINE,WX RA SUA; CROWELL ET AL 17,002-ALT,2026-08-17,,01,PERMITTED
255805,"WNR HAYNESVILLE OPERATING, LLC",DE SOTO,HA RA SUI; POLK 24 HU,001-ALT,2026-08-17,,01,PERMITTED
255806,"WNR HAYNESVILLE OPERATING, LLC",DE SOTO,HA RA SUI; POLK 24 HU,002-ALT,2026-08-17,,01,PERMITTED
255807,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUB; BEDSOLE 34-27 HC,004-ALT,2026-08-17,,01,PERMITTED
255808,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUB; BEDSOLE 34-27 HC,005-ALT,2026-08-17,,01,PERMITTED
